City,Business Type,Company Name,Physical Address,About Section,Website,General Email,General Phone,Personnel 1 Name,Personnel 1 Title,Personnel 1 Email,Personnel 2 Name,Personnel 2 Title,Personnel 2 Email
Tuscaloosa,Accounting,Dark Horse CPAs,"2205 4th St Suite 23, Tuscaloosa, AL 35401","A modern CPA firm providing tax, accounting, and fractional CFO services.",https://darkhorse.cpa/,info@darkhorse.cpa,(205) 236-6917,Susan Snowden,Principal,susan@darkhorse.cpa,Tina Lawrence,Principal,tina@darkhorse.cpa
Tuscaloosa,Accounting,Harbin & Stough PC,"2135 University Blvd Suite C, Tuscaloosa, AL 35401",A local accounting firm offering tax preparation and payroll solutions since 1984.,http://harbinandstough.com/,info@harbinandstough.com,(205) 758-3333,Richard P. Harbin,CPA,,Patricia L. Stough,CPA,
Tuscaloosa,Accounting,JamisonMoneyFarmer PC,"2200 Jack Warner Pkwy Suite 300, Tuscaloosa, AL 35401","One of the largest CPA firms in West Alabama, serving clients for over 100 years.",https://jmf.com/,info@jmf.com,(205) 345-8440,Carl Jamison,Shareholder,,Bobby Ingram,Shareholder,
Tuscaloosa,Accounting,"Lawrence & Lawrence, PC","3050 Mcfarland Blvd E, Tuscaloosa, AL 35405",A certified public accounting firm focused on small businesses and individuals.,http://www.llcpa.com/,info@llcpa.com,(205) 345-1040,Jacob D. Baker,Shareholder,jbaker@llcpa.com,Christopher Patterson,CPA,cpatterson@llcpa.com
Tuscaloosa,Accounting,"Morrison & Smith, LLP","1809 University Blvd, Tuscaloosa, AL 35401",A professional tax and accounting firm serving the Tuscaloosa area.,https://www.morrisonsmithcpas.com/,info@morrisonsmithcpas.com,(205) 349-2424,Alan Hartley,Partner,,Dan Sutter,Partner,
Tuscaloosa,Accounting,"Steve Richardson & Company, PC","2615 6th St #7, Tuscaloosa, AL 35401",A CPA firm providing personalized financial advice and tax planning.,https://www.steverichardsoncpa.com/,info@srcocpa.com,(205) 349-3580,Steve Richardson,Owner,info@srcocpa.com,,,
Tuscaloosa,Accounting,T. E. Lott & Company,"605 9th St N, Tuscaloosa, AL 35401",A regional accounting firm with a strong reputation for audit and assurance services.,https://telott.com/,info@telott.com,(205) 759-4103,Cathy Sheffield,CPA,,Debra S. Jackson,CPA,
Tuscaloosa,Accounting,The AATS Group,"2211 7th St, Tuscaloosa, AL 35401",A tax and accounting service specializing in business consulting.,https://theaatsgroup.com/,info@theaatsgroup.com,(205) 349-4328,Dianne S. Gray,President,,Robert Gray,Vice President,
Tuscaloosa,Accounting,"Way, Ray, Shelton & Co., P.C.","216 McFarland Cir N, Tuscaloosa, AL 35406","A full-service accounting firm offering audit, tax, and consulting to local businesses.",https://www.wrscpa.com/,info@wrscpa.com,(205) 345-5860,Steve Shelton,Shareholder,sas@wrscpa.com,Bert Sims,Shareholder,bsims@wrscpa.com
Tuscaloosa,Accounting,"Whisenant & Associates, LLC","2205 4th St Suite 23, Tuscaloosa, AL 35401",A boutique accounting firm providing tax and financial planning services.,http://www.whiscpa.com/,info@whiscpa.com,(205) 366-8646,Scott A. Whisenant,Owner,scottw@whiscpa.com,Cindy Savage,Manager,csavage@whiscpa.com
Tuscaloosa,Engineering,Almon Associates,"2008 12th St, Tuscaloosa, AL 35401",A civil engineering and transportation planning firm based in downtown Tuscaloosa.,https://almonassociates.com/,info@almonassociates.com,(205) 349-2100,,,,,,
Tuscaloosa,Engineering,Building & Earth Sciences,"2222 9th St, Tuscaloosa, AL 35401",A geotechnical engineering and materials testing firm with a local branch.,https://www.buildingandearth.com/,info@buildingandearth.com,(205) 758-7588,,,,,,
